Date : 2023-08-24 00:02:42
Directory : c:\Users\ASUS\Desktop\Source
Total : 379 files,  79454 codes, 2211 comments, 1491 blanks, all 83156 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| resources\js\components\balloon-block-editor                                                               |          1 |          9 |          0 |          2 |         11 |
| resources\js\components\balloon-editor                                                                     |          1 |          9 |          0 |          2 |         11 |
| resources\js\components\calendar                                                                           |          2 |         78 |          0 |          6 |         84 |
| resources\js\components\calendar (Files)                                                                   |          1 |         62 |          0 |          4 |         66 |
| resources\js\components\calendar\draggable                                                                 |          1 |         16 |          0 |          2 |         18 |
| resources\js\components\classic-editor                                                                     |          1 |          9 |          0 |          2 |         11 |
| resources\js\components\dark-mode-switcher                                                                 |          1 |         14 |          1 |          3 |         18 |
| resources\js\components\document-editor                                                                    |          1 |         16 |          0 |          2 |         18 |
| resources\js\components\donut-chart                                                                        |          1 |         42 |          1 |          2 |         45 |
| resources\js\components\dropzone                                                                           |          1 |         33 |          1 |          6 |         40 |
| resources\js\components\highlight                                                                          |          1 |         21 |          5 |          7 |         33 |
| resources\js\components\horizontal-bar-chart                                                               |          1 |         86 |          1 |          2 |         89 |
| resources\js\components\inline-editor                                                                      |          1 |          9 |          0 |          2 |         11 |
| resources\js\components\leaflet-map-loader                                                                 |          1 |         89 |          0 |         10 |         99 |
| resources\js\components\line-chart                                                                         |          1 |         96 |          1 |          2 |         99 |
| resources\js\components\litepicker                                                                         |          1 |         38 |          1 |          6 |         45 |
| resources\js\components\lucide                                                                             |          1 |          8 |          1 |          2 |         11 |
| resources\js\components\mobile-menu                                                                        |          1 |         44 |          2 |          4 |         50 |
| resources\js\components\pie-chart                                                                          |          1 |         41 |          1 |          2 |         44 |
| resources\js\components\preview-component                                                                  |          1 |         18 |          1 |          2 |         21 |
| resources\js\components\report-bar-chart                                                                   |          1 |         77 |          5 |          8 |         90 |
| resources\js\components\report-bar-chart-1                                                                 |          1 |         83 |          1 |          2 |         86 |
| resources\js\components\report-donut-chart                                                                 |          1 |         44 |          1 |          2 |         47 |
| resources\js\components\report-donut-chart-1                                                               |          1 |         42 |          1 |          2 |         45 |
| resources\js\components\report-donut-chart-2                                                               |          1 |         40 |          1 |          2 |         43 |
| resources\js\components\report-line-chart                                                                  |          1 |         94 |          1 |          2 |         97 |
| resources\js\components\report-pie-chart                                                                   |          1 |         43 |          1 |          2 |         46 |
| resources\js\components\simple-line-chart                                                                  |          1 |         69 |          1 |          2 |         72 |
| resources\js\components\simple-line-chart-1                                                                |          1 |         75 |          1 |          2 |         78 |
| resources\js\components\simple-line-chart-2                                                                |          1 |         75 |          1 |          2 |         78 |
| resources\js\components\simple-line-chart-3                                                                |          1 |         82 |          1 |          2 |         85 |
| resources\js\components\simple-line-chart-4                                                                |          1 |         82 |          1 |          2 |         85 |
| resources\js\components\source                                                                             |          1 |         15 |          1 |          3 |         19 |
| resources\js\components\stacked-bar-chart                                                                  |          1 |         91 |          1 |          2 |         94 |
| resources\js\components\stacked-bar-chart-1                                                                |          1 |         76 |          1 |          2 |         79 |
| resources\js\components\tiny-slider                                                                        |          1 |        101 |          1 |          9 |        111 |
| resources\js\components\tippy                                                                              |          1 |         26 |          1 |          8 |         35 |
| resources\js\components\tippy-content                                                                      |          1 |         49 |          1 |          7 |         57 |
| resources\js\components\tom-select                                                                         |          1 |         49 |          1 |          6 |         56 |
| resources\js\components\top-bar                                                                            |          1 |         13 |          0 |          3 |         16 |
| resources\js\components\vertical-bar-chart                                                                 |          1 |         85 |          1 |          2 |         88 |
| resources\js\layouts                                                                                       |          1 |         61 |          2 |          6 |         69 |
| resources\js\layouts\side-menu                                                                             |          1 |         61 |          2 |          6 |         69 |
| resources\js\pages                                                                                         |          8 |        264 |        394 |         39 |        697 |
| resources\js\pages\calendar                                                                                |          1 |          0 |         77 |          5 |         82 |
| resources\js\pages\chat                                                                                    |          1 |         18 |          0 |          2 |         20 |
| resources\js\pages\login                                                                                   |          1 |         44 |          3 |          7 |         54 |
| resources\js\pages\modal                                                                                   |          1 |         18 |          3 |          4 |         25 |
| resources\js\pages\notification                                                                            |          1 |        104 |         12 |         10 |        126 |
| resources\js\pages\slideover                                                                               |          1 |         18 |          3 |          4 |         25 |
| resources\js\pages\tabulator                                                                               |          1 |          4 |        296 |          1 |        301 |
| resources\js\pages\validation                                                                              |          1 |         58 |          0 |          6 |         64 |
| resources\js\vendor                                                                                        |         34 |         72 |          0 |         37 |        109 |
| resources\js\vendor\accordion                                                                              |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\alert                                                                                  |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\calendar                                                                               |          5 |         11 |          0 |          5 |         16 |
| resources\js\vendor\calendar (Files)                                                                       |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\calendar\plugins                                                                       |          4 |          9 |          0 |          4 |         13 |
| resources\js\vendor\chartjs                                                                                |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\ckeditor                                                                               |          5 |         10 |          0 |          5 |         15 |
| resources\js\vendor\ckeditor\balloon                                                                       |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\ckeditor\balloon-block                                                                 |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\ckeditor\classic                                                                       |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\ckeditor\document                                                                      |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\ckeditor\inline                                                                        |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\dom                                                                                    |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\dropdown                                                                               |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\dropzone                                                                               |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\highlight                                                                              |          1 |          4 |          0 |          1 |          5 |
| resources\js\vendor\image-zoom                                                                             |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\leaflet-map                                                                            |          1 |          3 |          0 |          1 |          4 |
| resources\js\vendor\litepicker                                                                             |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\lucide                                                                                 |          1 |          3 |          0 |          1 |          4 |
| resources\js\vendor\modal                                                                                  |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\pristine                                                                               |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\simplebar                                                                              |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\svg-loader                                                                             |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\tab                                                                                    |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\tabulator                                                                              |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\tailwind-merge                                                                         |          1 |          7 |          0 |          4 |         11 |
| resources\js\vendor\tiny-slider                                                                            |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\tippy                                                                                  |          1 |          4 |          0 |          1 |          5 |
| resources\js\vendor\toastify                                                                               |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\tom-select                                                                             |          1 |          2 |          0 |          1 |          3 |
| resources\js\vendor\transition                                                                             |          1 |          1 |          0 |          1 |          2 |
| resources\js\vendor\xlsx                                                                                   |          1 |          2 |          0 |          1 |          3 |
| resources\json                                                                                             |          1 |          1 |          0 |          0 |          1 |
| resources\views                                                                                            |        186 |     60,650 |         47 |        558 |     61,255 |
| resources\views\components                                                                                 |        108 |     17,333 |         25 |        278 |     17,636 |
| resources\views\components\base                                                                            |         83 |     16,604 |         25 |        207 |     16,836 |
| resources\views\components\base\alert                                                                      |          2 |        130 |          3 |          8 |        141 |
| resources\views\components\base\balloon-block-editor                                                       |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\base\balloon-editor                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\base\breadcrumb                                                                 |          2 |         31 |          0 |          7 |         38 |
| resources\views\components\base\button                                                                     |          1 |        161 |          6 |          8 |        175 |
| resources\views\components\base\calendar                                                                   |          1 |         15 |          0 |          3 |         18 |
| resources\views\components\base\calendar\draggable                                                         |          1 |         15 |          0 |          3 |         18 |
| resources\views\components\base\chart                                                                      |          1 |          8 |          0 |          2 |         10 |
| resources\views\components\base\classic-editor                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\base\dialog                                                                     |          5 |         39 |          0 |         11 |         50 |
| resources\views\components\base\disclosure                                                                 |          4 |         70 |          0 |          9 |         79 |
| resources\views\components\base\document-editor                                                            |          1 |         18 |          0 |          3 |         21 |
| resources\views\components\base\dropzone                                                                   |          1 |         28 |          0 |          4 |         32 |
| resources\views\components\base\file-icon                                                                  |          1 |         38 |          0 |          3 |         41 |
| resources\views\components\base\form-check                                                                 |          3 |         29 |          6 |          9 |         44 |
| resources\views\components\base\form-help                                                                  |          1 |          6 |          0 |          1 |          7 |
| resources\views\components\base\form-inline                                                                |          1 |          6 |          0 |          1 |          7 |
| resources\views\components\base\form-input                                                                 |          1 |         20 |          0 |          2 |         22 |
| resources\views\components\base\form-label                                                                 |          1 |          7 |          0 |          2 |          9 |
| resources\views\components\base\form-select                                                                |          1 |         18 |          0 |          2 |         20 |
| resources\views\components\base\form-switch                                                                |          3 |         18 |          2 |          5 |         25 |
| resources\views\components\base\form-textarea                                                              |          1 |         20 |          0 |          2 |         22 |
| resources\views\components\base\highlight                                                                  |          1 |         35 |          0 |          4 |         39 |
| resources\views\components\base\image-zoom                                                                 |          1 |         11 |          0 |          3 |         14 |
| resources\views\components\base\inline-editor                                                              |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\base\input-group                                                                |          2 |         17 |          0 |          4 |         21 |
| resources\views\components\base\leaflet-map-loader                                                         |          1 |         23 |          0 |          4 |         27 |
| resources\views\components\base\litepicker                                                                 |          1 |         14 |          0 |          3 |         17 |
| resources\views\components\base\loading-icon                                                               |          1 |     15,279 |          0 |          3 |     15,282 |
| resources\views\components\base\lucide                                                                     |          1 |         17 |          0 |          4 |         21 |
| resources\views\components\base\menu                                                                       |          7 |         64 |          0 |         11 |         75 |
| resources\views\components\base\notification                                                               |          1 |          4 |          0 |          1 |          5 |
| resources\views\components\base\pagination                                                                 |          2 |         20 |          0 |          3 |         23 |
| resources\views\components\base\popover                                                                    |          3 |         43 |          0 |          6 |         49 |
| resources\views\components\base\preview                                                                    |          1 |          3 |          0 |          1 |          4 |
| resources\views\components\base\preview-component                                                          |          1 |          8 |          0 |          2 |         10 |
| resources\views\components\base\progress                                                                   |          2 |         12 |          0 |          2 |         14 |
| resources\views\components\base\progress (Files)                                                           |          1 |          6 |          0 |          1 |          7 |
| resources\views\components\base\progress\bar                                                               |          1 |          6 |          0 |          1 |          7 |
| resources\views\components\base\slideover                                                                  |          5 |         39 |          0 |         11 |         50 |
| resources\views\components\base\source                                                                     |          1 |          8 |          0 |          2 |         10 |
| resources\views\components\base\tab                                                                        |          6 |        120 |          8 |         21 |        149 |
| resources\views\components\base\table                                                                      |          6 |         68 |          0 |         11 |         79 |
| resources\views\components\base\tiny-slider                                                                |          1 |         17 |          0 |          4 |         21 |
| resources\views\components\base\tippy                                                                      |          1 |         23 |          0 |          4 |         27 |
| resources\views\components\base\tippy-content                                                              |          1 |         11 |          0 |          3 |         14 |
| resources\views\components\base\tom-select                                                                 |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\base\transition                                                                 |          1 |         41 |          0 |          3 |         44 |
| resources\views\components\calendar                                                                        |          1 |         18 |          0 |          3 |         21 |
| resources\views\components\dark-mode-switcher                                                              |          1 |         19 |          0 |          2 |         21 |
| resources\views\components\donut-chart                                                                     |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\horizontal-bar-chart                                                            |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\leaflet-map                                                                     |          1 |          6 |          0 |          1 |          7 |
| resources\views\components\line-chart                                                                      |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\main-color-switcher                                                             |          1 |         28 |          0 |          1 |         29 |
| resources\views\components\mobile-menu                                                                     |          1 |        131 |          0 |          3 |        134 |
| resources\views\components\pie-chart                                                                       |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-bar-chart                                                                |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-bar-chart-1                                                              |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-donut-chart                                                              |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-donut-chart-1                                                            |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-donut-chart-2                                                            |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-line-chart                                                               |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\report-pie-chart                                                                |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\simple-line-chart                                                               |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\simple-line-chart-1                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\simple-line-chart-2                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\simple-line-chart-3                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\simple-line-chart-4                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\stacked-bar-chart                                                               |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\stacked-bar-chart-1                                                             |          1 |         13 |          0 |          3 |         16 |
| resources\views\components\top-bar                                                                         |          1 |        280 |          0 |          4 |        284 |
| resources\views\components\vertical-bar-chart                                                              |          1 |         13 |          0 |          3 |         16 |
| resources\views\layouts                                                                                    |          4 |        422 |         10 |         33 |        465 |
| resources\views\login                                                                                      |          1 |        137 |          0 |          4 |        141 |
| resources\views\pages                                                                                      |         73 |     42,758 |         12 |        243 |     43,013 |
| routes                                                                                                     |          4 |        107 |         40 |         18 |        165 |
| tests                                                                                                      |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                              |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                              |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                                                 |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                           |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                  |          2 |          7 |          2 |          1 |         10 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\ASUS\Desktop\Source\README.md                                                                     | Markdown   |         45 |          0 |         22 |         67 |
| c:\Users\ASUS\Desktop\Source\app\Console\Kernel.php                                                        | PHP        |         15 |          7 |          6 |         28 |
| c:\Users\ASUS\Desktop\Source\app\Exceptions\Handler.php                                                    | PHP        |         17 |          9 |          5 |         31 |
| c:\Users\ASUS\Desktop\Source\app\Http\Controllers\AuthController.php                                       | PHP        |         29 |         11 |          6 |         46 |
| c:\Users\ASUS\Desktop\Source\app\Http\Controllers\ColorSchemeController.php                                | PHP        |         14 |          5 |          5 |         24 |
| c:\Users\ASUS\Desktop\Source\app\Http\Controllers\Controller.php                                           | PHP        |          9 |          0 |          4 |         13 |
| c:\Users\ASUS\Desktop\Source\app\Http\Controllers\DarkModeController.php                                   | PHP        |         13 |          4 |          5 |         22 |
| c:\Users\ASUS\Desktop\Source\app\Http\Controllers\PageController.php                                       | PHP        |        299 |        296 |         77 |        672 |
| c:\Users\ASUS\Desktop\Source\app\Http\Helpers.php                                                          | PHP        |         32 |          0 |          5 |         37 |
| c:\Users\ASUS\Desktop\Source\app\Http\Kernel.php                                                           | PHP        |         41 |         21 |          7 |         69 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\Authenticate.php                                          | PHP        |         18 |          3 |          4 |         25 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\LoggedIn.php                                              | PHP        |         18 |          3 |          4 |         25 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         20 |          5 |          6 |         31 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| c:\Users\ASUS\Desktop\Source\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\ASUS\Desktop\Source\app\Http\Requests\LoginRequest.php                                            | PHP        |         13 |          5 |          4 |         22 |
| c:\Users\ASUS\Desktop\Source\app\Main\SideMenu.php                                                         | PHP        |        746 |          3 |          3 |        752 |
| c:\Users\ASUS\Desktop\Source\app\Main\SimpleMenu.php                                                       | PHP        |        746 |          3 |          3 |        752 |
| c:\Users\ASUS\Desktop\Source\app\Main\TopMenu.php                                                          | PHP        |        732 |          3 |          3 |        738 |
| c:\Users\ASUS\Desktop\Source\app\Models\User.php                                                           | PHP        |         37 |         26 |         10 |         73 |
| c:\Users\ASUS\Desktop\Source\app\Providers\AppServiceProvider.php                                          | PHP        |         12 |          8 |          5 |         25 |
| c:\Users\ASUS\Desktop\Source\app\Providers\AuthServiceProvider.php                                         | PHP        |         11 |         11 |          5 |         27 |
| c:\Users\ASUS\Desktop\Source\app\Providers\BroadcastServiceProvider.php                                    | PHP        |         12 |          3 |          5 |         20 |
| c:\Users\ASUS\Desktop\Source\app\Providers\EventServiceProvider.php                                        | PHP        |         21 |         12 |          6 |         39 |
| c:\Users\ASUS\Desktop\Source\app\Providers\RouteServiceProvider.php                                        | PHP        |         24 |         10 |          7 |         41 |
| c:\Users\ASUS\Desktop\Source\app\Providers\ViewServiceProvider.php                                         | PHP        |         18 |         11 |          5 |         34 |
| c:\Users\ASUS\Desktop\Source\app\View\Composers\ColorSchemeComposer.php                                    | PHP        |         13 |          3 |          4 |         20 |
| c:\Users\ASUS\Desktop\Source\app\View\Composers\DarkModeComposer.php                                       | PHP        |         13 |          3 |          4 |         20 |
| c:\Users\ASUS\Desktop\Source\app\View\Composers\FakerComposer.php                                          | PHP        |        253 |          6 |         29 |        288 |
| c:\Users\ASUS\Desktop\Source\app\View\Composers\LoggedInUserComposer.php                                   | PHP        |         10 |          3 |          4 |         17 |
| c:\Users\ASUS\Desktop\Source\app\View\Composers\MenuComposer.php                                           | PHP        |        115 |          9 |         17 |        141 |
| c:\Users\ASUS\Desktop\Source\bootstrap\app.php                                                             | PHP        |         17 |         30 |          9 |         56 |
| c:\Users\ASUS\Desktop\Source\composer.json                                                                 | JSON       |         72 |          0 |          1 |         73 |
| c:\Users\ASUS\Desktop\Source\composer.lock                                                                 | JSON       |      8,058 |          0 |          1 |      8,059 |
| c:\Users\ASUS\Desktop\Source\config\app.php                                                                | PHP        |         28 |        131 |         31 |        190 |
| c:\Users\ASUS\Desktop\Source\config\auth.php                                                               | PHP        |         28 |         74 |         14 |        116 |
| c:\Users\ASUS\Desktop\Source\config\broadcasting.php                                                       | PHP        |         35 |         23 |         13 |         71 |
| c:\Users\ASUS\Desktop\Source\config\cache.php                                                              | PHP        |         58 |         34 |         19 |        111 |
| c:\Users\ASUS\Desktop\Source\config\cors.php                                                               | PHP        |          3 |         29 |          3 |         35 |
| c:\Users\ASUS\Desktop\Source\config\database.php                                                           | PHP        |         83 |         47 |         22 |        152 |
| c:\Users\ASUS\Desktop\Source\config\filesystems.php                                                        | PHP        |         32 |         32 |         13 |         77 |
| c:\Users\ASUS\Desktop\Source\config\hashing.php                                                            | PHP        |         12 |         32 |          9 |         53 |
| c:\Users\ASUS\Desktop\Source\config\logging.php                                                            | PHP        |         79 |         34 |         19 |        132 |
| c:\Users\ASUS\Desktop\Source\config\mail.php                                                               | PHP        |         53 |         53 |         19 |        125 |
| c:\Users\ASUS\Desktop\Source\config\queue.php                                                              | PHP        |         51 |         42 |         17 |        110 |
| c:\Users\ASUS\Desktop\Source\config\sanctum.php                                                            | PHP        |         15 |         41 |         12 |         68 |
| c:\Users\ASUS\Desktop\Source\config\services.php                                                           | PHP        |         17 |         11 |          7 |         35 |
| c:\Users\ASUS\Desktop\Source\config\session.php                                                            | PHP        |         22 |        147 |         33 |        202 |
| c:\Users\ASUS\Desktop\Source\config\view.php                                                               | PHP        |         10 |         20 |          7 |         37 |
| c:\Users\ASUS\Desktop\Source\database\factories\UserFactory.php                                            | PHP        |         25 |         11 |          5 |         41 |
| c:\Users\ASUS\Desktop\Source\database\migrations\2014_10_12_000000_create_users_table.php                  | PHP        |         30 |          6 |          4 |         40 |
| c:\Users\ASUS\Desktop\Source\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php  | PHP        |         19 |          6 |          4 |         29 |
| c:\Users\ASUS\Desktop\Source\database\migrations\2019_08_19_000000_create_failed_jobs_table.php            | PHP        |         23 |          6 |          4 |         33 |
| c:\Users\ASUS\Desktop\Source\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |          6 |          4 |         34 |
| c:\Users\ASUS\Desktop\Source\database\seeders\DatabaseSeeder.php                                           | PHP        |         10 |          3 |          4 |         17 |
| c:\Users\ASUS\Desktop\Source\database\seeders\UserSeeder.php                                               | PHP        |         65 |          4 |          4 |         73 |
| c:\Users\ASUS\Desktop\Source\package.json                                                                  | JSON       |         52 |          0 |          1 |         53 |
| c:\Users\ASUS\Desktop\Source\phpunit.xml                                                                   | XML        |         29 |          2 |          1 |         32 |
| c:\Users\ASUS\Desktop\Source\postcss.config.js                                                             | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\ASUS\Desktop\Source\public\index.php                                                              | PHP        |         14 |         30 |         12 |         56 |
| c:\Users\ASUS\Desktop\Source\resources\css\_roboto.css                                                     | CSS        |        888 |         84 |          1 |        973 |
| c:\Users\ASUS\Desktop\Source\resources\css\_tailwind.css                                                   | CSS        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\css\app.css                                                         | CSS        |         36 |         40 |          4 |         80 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_box.css                                             | CSS        |         15 |          0 |          2 |         17 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_ckeditor.css                                        | CSS        |        283 |          0 |          7 |        290 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_full-calendar.css                                   | CSS        |        217 |          0 |          2 |        219 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_global.css                                          | CSS        |         37 |          0 |          1 |         38 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_image-fit.css                                       | CSS        |         12 |          0 |          1 |         13 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_intro.css                                           | CSS        |         52 |          0 |          2 |         54 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_litepicker.css                                      | CSS        |        281 |          0 |          2 |        283 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_mobile-menu.css                                     | CSS        |         84 |          5 |          2 |         91 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_scrollbar-hidden.css                                | CSS        |          7 |          0 |          1 |          8 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_side-nav.css                                        | CSS        |        314 |          6 |          3 |        323 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_tabulator.css                                       | CSS        |        299 |          0 |          2 |        301 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_tailwind-merge.css                                  | CSS        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_tiny-slider.css                                     | CSS        |        109 |          0 |          2 |        111 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_tippy.css                                           | CSS        |         51 |          0 |          2 |         53 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_toastify.css                                        | CSS        |         29 |          0 |          1 |         30 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_tom-select.css                                      | CSS        |        172 |          0 |          2 |        174 |
